"Id","IsDeleted","MasterRecordId","Salutation","FirstName","LastName","Title","Company","Street","City","State","PostalCode","Country","Phone","MobilePhone","Fax","Email","Website","Description","LeadSource","Status","Industry","Rating","AnnualRevenue","NumberOfEmployees","OwnerId","HasOptedOutOfEmail","IsConverted","ConvertedDate","ConvertedAccountId","ConvertedContactId","ConvertedOpportunityId","IsUnreadByOwner","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","DoNotCall","HasOptedOutOfFax","LastTransferDate","Jigsaw","JigsawContactId","EmailBouncedReason","EmailBouncedDate","SICCode__c","ProductInterest__c","Primary__c","CurrentGenerators__c","NumberofLocations__c"
"00QE000000DYDLuMAP","0","","Ms","Pamela","Owenby","SVP, Technology","Hendrickson Trading","","","PA","","USA","(570) 326-1571","","","pam_owenby@hendricksontrading.com","","","Partner Referral","Closed - Not Converted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","7267","GC5000 series","Yes","John Deere","3.0"
"00QE000000DYDLvMAP","0","","Mr","Norm","May","VP, Facilities","Greenwich Media","","","OH","","USA","(419) 289-3555","","","norm_may@greenwich.net","","","Web","Working - Contacted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDLwMAP","0","","Ms","Pat","Stumuller","SVP, Administration and Finance","Pyramid Construction Inc.","","","","","France","33562156600","","","pat@pyramid.net","","","Phone Inquiry","Closed - Converted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDLxMAP","0","","Mr","Andy","Young","SVP, Operations","Dickenson plc","","","KS","","USA","(620) 241-6200","","","a_young@dickenson.com","","","Purchased List","Closed - Converted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDLyMAP","0","","Ms","Kristen","Akin","Director, Warehouse Mgmt","Aethna Home Products","","","VA","","USA","(434) 369-3100","","","kakin@athenahome.com","","","Partner Referral","Working - Contacted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDLzMAP","0","","Mr","David","Monaco","CFO","Blues Entertainment Corp.","","","","","Japan","(033) 452-1299","","","david@blues.com","","","Purchased List","Working - Contacted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDM0MAP","0","","Ms","Carolyn","Crenshaw","VP, Technology","Ace Iron and Steel Inc.","","","AL","","USA","(251) 679-2200","","","carolync@aceis.com","","","Phone Inquiry","Closed - Not Converted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDM1MAP","0","","Mr.","Jack","Rogers","VP, Facilities","Burlington Textiles Corp of America","525 S. Lexington Ave","Burlington","NC","27215","USA","(336) 222-7000","","(336) 222-8000","jrogers@btca.com","","","Web","Closed - Converted","Apparel","Warm","350000000","9000","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","7267","GC5000 series","Yes","John Deere","3.0"
"00QE000000DYDM2MAP","0","","Mr","Bill","Dadio Jr","CFO","Zenith Industrial Partners","","","OH","","USA","(614) 431-5000","","","bill_dadio@zenith.com","","","Web","Closed - Not Converted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","7267","GC5000 series","Yes","John Deere","3.0"
"00QE000000DYDM3MAP","0","","Ms","Eugena","Luce","CEO","Pacific Retail Group","","","MA","","USA","(781) 270-6500","","","eluce@pacificretail.com","","","Purchased List","Closed - Not Converted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDM4MAP","0","","Ms","Sandra","Eberhard","VP, Production","Highland Manufacturing Ltd.","","","CA","","USA","(626) 440-0700","","","sandra_e@highland.net","","","Purchased List","Working - Contacted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
"00QE000000DYDM5MAP","0","","Ms","Betty","Bair","VP, Administration","American Banking Corp.","","","PA","","USA","(610) 265-9100","","","bblair@abankingco.com","","","Purchased List","Working - Contacted","","","","","005E0000001eioKIAQ","0","0","","000000000000000AAA","000000000000000AAA","000000000000000AAA","1","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","0","0","2010-05-25 18:59:53","","","","","2768","GC5000 series","Yes","All","130.0"
